"date","symbol","open","close","low","high","volume"
"2010-01-04","AAPL",30.4899997143,30.5728568571,30.3400001428,30.6428565714,123432400
"2010-01-05","AAPL",30.6571425714,30.6257132857,30.4642848571,30.7985705714,150476200
"2010-01-06","AAPL",30.6257132857,30.1385707143,30.1071434285,30.7471428571,138040000
"2010-01-07","AAPL",30.25,30.0828571428,29.8642864285,30.2857151428,119282800
"2010-01-08","AAPL",30.0428562857,30.2828578571,29.865715,30.2857151428,111902700
"2010-01-11","AAPL",30.3999995714,30.0157147143,29.7785721428,30.4285717143,115557400
"2010-01-12","AAPL",29.884285,29.6742858571,29.4885711428,29.9671421428,148614900
"2010-01-13","AAPL",29.695715,30.0928574285,29.1571425714,30.1328564285,151473000
"2010-01-14","AAPL",30.0157147143,29.9185714285,29.8600005714,30.0657138571,108223500
"2010-01-15","AAPL",30.1328564285,29.4185714285,29.4099998571,30.228571,148516900
"2010-01-19","AAPL",29.7614288571,30.7199992857,29.6057148571,30.7414284285,182501900
"2010-01-20","AAPL",30.7014294285,30.2471428571,29.9285717143,30.7928562857,153038200
"2010-01-21","AAPL",30.297142,29.7242851428,29.601429,30.4728565714,152038600
"2010-01-22","AAPL",29.5400008571,28.25,28.1657142857,29.6428565714,220441900
"2010-01-25","AAPL",28.9300002857,29.0100002857,28.5985717143,29.242857,266424900
"2010-01-26","AAPL",29.4214287143,29.4200001428,28.9400005714,30.5300007143,466777500
"2010-01-27","AAPL",29.5499992857,29.6971435714,28.5042858571,30.0828571428,430642100
"2010-01-28","AAPL",29.2757148571,28.4699992857,28.3857135714,29.3571434285,293375600
"2010-01-29","AAPL",28.7257137143,27.4371432857,27.1785717143,28.8857135714,311488100
"2010-02-01","AAPL",27.4814281428,27.8185711428,27.3285712857,28,187469100
"2010-02-02","AAPL",27.9871425714,27.9799995714,27.6257132857,28.0457134285,174585600
"2010-02-03","AAPL",27.8814277143,28.4614277143,27.7742862857,28.6000004285,153832000
"2010-02-04","AAPL",28.1042861428,27.4357147143,27.3671435714,28.3385715714,189413000
"2010-02-05","AAPL",27.5185718571,27.9228572857,27.264286,28,212576700
"2010-02-08","AAPL",27.9557151428,27.7314281428,27.7142848571,28.2685718571,119567700
"2010-02-09","AAPL",28.0599994285,28.0271434285,27.8214282857,28.2142848571,158221700
"2010-02-10","AAPL",27.9842852857,27.8742867143,27.7514285714,28.0857142857,92590400
"2010-02-11","AAPL",27.8400001428,28.3814277143,27.7228565714,28.5357151428,137586400
"2010-02-12","AAPL",28.3014278571,28.6257132857,27.9285717143,28.8057137143,163867200
"2010-02-16","AAPL",28.8485717143,29.0571422857,28.7885722857,29.0985717143,135934400
"2010-02-17","AAPL",29.1700001428,28.9357147143,28.6942862857,29.1871432857,109099200
"2010-02-18","AAPL",28.804285,28.9899997143,28.702858,29.127142,105706300
"2010-02-19","AAPL",28.837143,28.8099994285,28.7299995714,29.0285721428,103867400
"2010-02-22","AAPL",28.905714,28.6314277143,28.4557151428,28.9285717143,97640900
"2010-02-23","AAPL",28.5714282857,28.1514282857,27.9585704285,28.7614288571,143773700
"2010-02-24","AAPL",28.3185711428,28.6657142857,28.2628574285,28.7771434285,115141600
"2010-02-25","AAPL",28.1971435714,28.8571434285,28.127142,28.9799995714,166281500
"2010-02-26","AAPL",28.9114284285,29.2314281428,28.8571434285,29.3099994285,126865200
"2010-03-01","AAPL",29.3928565714,29.8557148571,29.3500004285,29.9285717143,137523400
"2010-03-02","AAPL",29.9899997143,29.8357142857,29.6771431428,30.1185722857,141636600
"2010-03-03","AAPL",29.8485717143,29.9042854285,29.7057151428,29.9814281428,93013200
"2010-03-04","AAPL",29.8971424285,30.101429,29.804285,30.1314277143,91510300
"2010-03-05","AAPL",30.7057151428,31.2785721428,30.6614284285,31.3857135714,224905100
"2010-03-08","AAPL",31.4300002857,31.297142,31.1785717143,31.4414291428,107472400
"2010-03-09","AAPL",31.1871432857,31.8600005714,31.127142,32.1428565714,230064800
"2010-03-10","AAPL",31.9757137143,32.119999,31.8857135714,32.2114295714,149054500
"2010-03-11","AAPL",31.9871425714,32.2142868571,31.9028568571,32.2142868571,101425100
"2010-03-12","AAPL",32.48143,32.3714294285,32.25,32.532856,104080900
"2010-03-15","AAPL",32.1971435714,31.9771422857,31.4642848571,32.2142868571,123375700
