Ticker Symbol,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,GICS Sector
AAL,-0.0146844973426,0.0748768034293,-3.09931430396,0.358505845523,-0.979050567913,0.461046934008,-0.128348430757,0.21502702558,-0.172574978561,-0.00865021831195,0.0120452702201,-0.21265027352,0.0607559343816,-0.187894823021,-0.294044796643,0.310194092331,-0.130350209278,0.644938115636,-0.113086820582,0.657465833914,1.08577674444,-0.956195188569,-0.0084690341203,0.474541665544,-0.16252485645,0.173922725349,-0.453737621544,0.21139670504,-0.166951863151,-0.145837371623,-0.275189374533,0.137045445489,-0.0352861979214,-0.0639626712601,0.200347740745,-0.0903007288711,-0.000861955937773,0.108630520758,0.0039121417165,-0.310673895522,-0.235787577372,0.491502442861,0.157364188759,-0.712886751325,-0.107304745835,0.24069037154,-0.0797069822325,-1.04927536083,0.120007359883,0.259286532639,0.0705472521164,-0.100899686076,0.0802950748097,-0.562758259655,0.148623894705,-0.289799985535,-0.289400790574,-0.664559233809,-0.206981068459,1.44564812405,-0.0654626480984,0.866608577287,-0.0801447999527,0.306840826646,0.838087803091,-0.493127511062,-0.0288626414831,-0.0882218271998,0.335651318457,0.276083307261,Industrials
AAP,-0.111790745036,0.0359256824978,-0.147648660854,-0.133121595205,0.346738392619,-0.427877198872,-0.149078287437,-0.53327867703,-0.176540546762,-0.268460844914,-0.224019385162,-0.312945905439,-0.400521175009,-0.337681581957,-0.313687848107,0.292620250229,-0.130350209278,-0.373638434003,-0.434622245463,0.0316134118613,-0.250509982569,-0.249341430877,-0.247589236551,-0.265079057759,0.483555233311,0.128304204218,0.05420778359,-0.268840247754,-0.166951863151,-0.145837371623,-0.275189374533,-0.0805757178391,-0.0580011395025,-0.38810823173,0.106508327162,0.227066820611,-0.340377972145,-0.089773871422,-0.339080472918,-0.321286229479,-0.375159545829,-0.223838570981,-0.32161525757,-0.592642949104,-0.191712861391,-0.398165815024,-0.137226165711,0.209248342306,-0.108850846782,-0.055567044758,-0.165570307021,-0.00970333495018,-0.311581950548,-0.579373604243,-0.0978818462412,-0.663591905458,-0.289400790574,-0.309051178283,0.329417566824,-0.101416710864,-0.14710009448,-0.201559821249,-0.242133135397,-0.190380187766,-0.162844069437,-0.39311117505,-0.215202568331,-0.242049457013,-0.300924759751,0.276070037536,Consumer Discretionary
AAPL,3.33584140009,-5.80683047273,2.39340194968,-0.0517997629043,-3.13435075588,-0.477416888708,0.16662596613,-0.640806569763,2.6065669499,3.67504992488,-0.224019385162,0.327695946423,3.80150384752,9.80375263223,10.7109596871,0.310194092331,-0.130350209278,0.690061388349,0.0300589273313,-0.306148212738,5.28813736302,9.0678299715,0.292653752555,-0.315899183302,0.169886479673,-3.52611643366,7.30068985607,1.29290575197,0.862029869639,-0.145837371623,-0.275189374533,5.37829896253,2.91628630533,9.263072016,-3.9995623016,-4.37725956623,11.3838347696,2.58488379356,11.5051866334,10.3854016216,3.39867885789,-0.223838570981,11.8996219291,0.747216561355,0.0374953396483,6.96681209823,-0.0618761483182,0.293136595231,-0.391414405213,-0.523481378329,0.368322585149,0.34446039303,-0.311581950548,0.76646930736,-0.0522326349549,0.6348431848,5.58179809634,3.39698762713,-14.2408205304,0.986559506005,0.201494143394,4.51684508302,1.02335833216,5.88817090302,6.69773614513,4.24565129446,0.543827457953,1.02342934554,4.46469051791,0.282682208437,Information Technology
ABBV,0.160605912397,-0.0506162751604,-0.636621331352,3.06245676953,0.258158140946,-0.00955873130948,-0.00781910490421,-0.501633629959,-0.175200965284,-0.260446177613,-0.224019385162,-0.0553979882893,-0.0789822685414,0.46297387522,0.49816598865,-1.45367044685,-0.130350209278,-0.31931493572,0.502841538959,1.21377909796,0.619791052573,0.165835485237,0.681731898414,0.0335460951896,-0.0522188688662,0.152164659675,-0.119066142253,0.320207374206,-0.166097490645,-0.145837371623,5.7803767581,1.88109468104,2.49765396814,0.400442655672,0.122403504181,-0.135062084395,0.642319535275,0.36315767745,0.653679725056,0.576124598498,0.22991238536,0.0647539410411,0.712094325079,0.678505817229,-0.15134560171,0.653121140155,-0.138109557887,-0.26173525453,-0.861996092901,-1.14059714695,-0.108107609424,0.131784819022,-0.311581950548,0.484008449369,2.3750011423,0.536476890083,2.4208092587,-0.319342686933,-0.533926110246,0.259360909814,-0.0465312527037,-0.0929669080119,-0.105661029553,0.732006263068,0.462998554876,-0.367371281505,-0.0661088000287,-0.105578716977,-0.00594513737506,0.100520170787,Health Care
ABC,1.07001995594,-3.05922538668,-0.183188575273,-0.0961571259775,0.326854291063,-0.183016836025,-0.120941159833,-4.00621781346,-0.176242688747,3.56438501334,-0.224019385162,-0.113909918157,-0.392941945266,-0.313179091025,-0.296336938413,0.310194092331,-0.130350209278,-0.386975823551,-0.181594736828,-1.7466022,-0.286524048868,-0.241515691765,0.157551562532,-0.217190241429,2.05006798999,0.122854809905,2.90125040343,-0.20924024521,-0.166951863151,-0.145837371623,-0.275189374533,0.0454783077171,0.445320887255,-0.136410051985,0.0223584893456,0.13255101146,-0.323450546485,0.256915556168,-0.321979712692,-0.301685532089,0.557720705492,-0.223838570981,-0.287926079905,-1.19386196021,-0.181846107461,-0.337785357873,-0.138109557887,0.183807238417,-0.106592130512,-0.310315697855,-0.166775872545,-0.0411839994115,-0.224856695689,-1.12767997564,-0.0770136353675,-1.07673034327,-0.289400790574,-0.297608159781,0.0663821824774,-0.199661396974,-0.139763563795,-0.201559821249,-0.148518262446,0.89821934157,1.62571930136,-0.3947503179,-0.110195444233,-0.148435520957,2.53119350986,0.0601312814761,Health Care
ABT,0.165460163474,-0.106832631633,-0.498118157465,-0.203354086738,-0.011457084722,-0.477416888708,-0.0492698315311,-0.684798016252,1.16161775523,-0.110113516118,0.798482709145,-0.362721314513,0.376793817538,-0.108244268798,-0.0912016390853,-0.352014523412,-0.130350209278,-0.0831606451081,0.946705817675,0.299835878455,0.272172800932,-0.259767635677,0.706906400513,-0.126970464284,0.398779888986,0.0618620128715,-0.652754460564,-0.0281464319613,-0.15854692856,-0.109380440752,-0.275189374533,0.385640436748,-0.623394144524,0.235110316745,-0.427944807056,0.0461162414707,0.569836035637,-0.0747474167839,0.580454004112,-0.0253984183112,0.370117410881,-0.223838570981,-0.00438999136893,-0.472399146883,-0.193714146777,1.13740783074,-0.13477987063,-1.31540899469,-0.501097636977,-0.0483140883261,-0.0551474250491,0.025769756713,-0.101207756765,-0.529527570479,-0.263523270052,0.418437336424,0.855388652864,0.57496600131,-0.264506417458,0.29329536083,0.0112034741433,0.272480475805,-0.0366514794078,0.972038238659,0.63854810363,0.459882482084,-0.106096167467,-0.036569857478,-0.00984033488405,-0.287933946416,Health Care
ADBE,-0.27731932751,0.0320950204699,-0.117129486488,-0.260649014041,0.364209271476,-0.120633886916,-0.140073878388,0.21502702558,-0.176534638292,-0.387449346464,-0.224019385162,-0.284987907992,-0.358597702659,-0.324956822162,-0.30233717897,0.214163717534,-0.130350209278,-0.405011426786,0.143942471223,1.5316723917,-0.23463301414,-0.305738437238,-0.228733184833,-0.252307913464,-0.397323878637,0.0660772376408,0.162455508781,-0.253120776515,-0.166143352785,-0.145837371623,-0.275189374533,-0.107593739766,-0.194874299949,-0.257877329559,-0.0239994210752,0.199214267096,-0.299243619813,0.0494760418485,-0.297524910341,-0.283721859054,-0.334988114878,-0.211959458458,-0.309009920801,-0.128845426253,-0.188446608066,-0.311912966464,-0.125900140794,0.186764994997,-0.103854762034,0.010053175086,-0.165047603629,-0.02572887513,-0.288929084015,-0.16398998955,-0.257001954154,-0.191433690819,0.430389366076,-0.0733268745553,0.00973155388214,-0.19020698077,-0.139682098504,0.331388231989,-0.218265534106,-0.143930234614,-0.263641659385,-0.190819388112,-0.217154857857,-0.218182094588,-0.383944711802,-0.0223097978368,Information Technology
ADI,-0.304667694444,0.0852836434805,-0.0805502655597,-0.214443427506,0.376421501231,-0.423992580074,-0.145070241508,0.259684742523,-0.170876703709,-0.374341966527,-0.203897279683,-0.32497658171,-0.432124016749,-0.316262112314,-0.288939526961,0.292814660098,-0.130350209278,-0.413360122398,-0.338836436936,0.71707082649,-0.384879423584,-0.339322657034,-0.235201205944,-0.272753254904,-0.299566775365,0.137160137403,-0.0512726294642,-0.273740792896,-0.166849785464,-0.145837371623,-0.275189374533,-0.0740974750034,0.0521481997117,-0.337820699611,0.0241013401897,0.253035398,-0.265217774861,-0.105945224726,-0.263150645304,-0.252649060497,-0.362691099619,-0.203152525798,-0.301967044863,0.626972759134,-0.191930161658,-0.413582058613,-0.13538498055,0.180666702599,-0.104228118339,-0.0315486693003,-0.16652689389,-0.00159681333636,-0.294971383433,0.616931206071,-0.223091111484,0.733209479517,0.195421435354,-0.189159341064,0.304003649534,-0.385588615685,-0.14261599452,0.333394113041,-0.239669101814,-0.162309239243,-0.422203236702,-0.270724531522,-0.229787246963,-0.23958544809,-0.424116458717,0.282682208437,Information Technology
ADM,0.599297658253,2.06800216927,0.450095879143,-0.256952567118,0.0700505254436,-0.477416888708,-0.0437148195264,2.92090090693,0.385994280775,2.19719537213,-0.224019385162,-0.0268426470303,-0.0925892908413,0.00513453314112,-0.00210845318893,0.310194092331,0.461644713513,0.0782332711309,-0.507275829652,-1.65719471114,-0.230525786837,-0.0142038205884,0.0199299798211,0.049087789299,2.51434690994,0.11458861374,0.0863294416075,-0.0981328524137,-0.136940677017,-0.117793578645,-0.275189374533,-0.369696086386,-0.05398061415,0.0749808746067,-0.353100625355,0.16813611136,0.00129569242357,-0.194197603343,0.00609188410741,0.0922707888873,-0.0618270291186,-0.0173721195609,-0.0473152210181,-1.07361815799,-0.174898146734,4.29758683193,-0.13757736326,-0.130169523126,-0.114200192784,0.0960959245988,-0.144695719055,-0.412329016756,-0.311581950548,-0.994757218935,-0.246567848717,-0.919344271721,-0.289400790574,0.229927503082,-0.0598725546109,-0.237445016079,-0.0333275087819,-0.113116776097,-0.0608597227962,1.49941218187,1.16044194525,0.283515491613,-0.108641082026,-0.0611730912623,1.53529795699,0.282682208437,Consumer Staples
ADS,-0.282042710844,0.0139308910675,-0.147065882114,0.0276738459352,0.374726142939,-0.279650241187,-0.129604217351,0.21502702558,-0.176427219022,-0.298786030714,-0.220849428535,-0.218417943547,-0.340849057737,-0.275432468524,-0.292028435151,0.213716169816,-0.130350209278,-0.422815051629,-0.148485494848,-0.584304844762,-0.416893031574,-0.223646637567,-0.160214677994,-0.0274866232561,-0.397323878637,-0.142709623219,-0.0703025515713,-0.0442555129316,-0.166951863151,-0.145837371623,0.381974100873,0.510587055672,0.223623498734,-0.292340569262,0.443667415475,-0.0458781199394,-0.321862045305,0.145513873457,-0.320374945474,-0.304377269082,0.962404338163,-0.223838570981,-0.245100902743,0.35212978263,-0.176882108182,-0.161414071424,-0.107992330711,0.191346043125,-0.115091091448,-0.185070917574,-0.132558457194,-0.0964956235259,-0.204711410397,-0.0642979220242,0.0847149989042,-0.270126726592,-0.289400790574,-0.271011361428,0.159995249348,-0.423065573051,-0.0705225759918,-0.201559821249,-0.19068482304,0.429244606511,0.093267025937,-0.406766725116,-0.155685997949,-0.190601659549,-0.378683765303,0.0660079356157,Information Technology
